Name,Ticker,ISIN,SecId,Global Broad Category Group,Average Eff Duration Survey,Fixd-Inc Eff Dur - Avg yrs (Calc) (Long) (FI%),Average Mod Duration Survey,Portfolio Risk Score,Portfolio Risk Score Date
Allspring Short-Term Municipal Bd A,WSMAX,US94984B7516,FOUSA06SLC,Fixed Income,1.84,,2.10,7.57,7/31/2022
Allspring Short-Term Municipal Bd Adm,WSTMX,US94975P8196,F00000J8L1,Fixed Income,1.84,,2.10,7.49,7/31/2022
Allspring Short-Term Municipal Bd C,WSSCX,US9499178765,FOUSA02VWT,Fixed Income,1.84,,2.10,7.55,7/31/2022
Allspring Short-Term Municipal Bd Inst,WSBIX,US9499216540,FOUSA06R05,Fixed Income,1.84,,2.10,7.50,7/31/2022
Allspring Short-Term Municipal Bond R6,WSSRX,US94988V3400,F000010V8R,Fixed Income,1.84,,2.10,7.41,7/31/2022
Allspring Small Cap A,WFSMX,US9499217464,FOUSA06QZI,Equity,,,,146.94,7/31/2022
Allspring Small Cap Admin,WFSDX,US9499152505,FOUSA05BQF,Equity,,,,147.03,7/31/2022
Allspring Small Cap C,WSCDX,US9499217381,FOUSA06QZO,Equity,,,,146.84,7/31/2022
Allspring Small Cap Inst,WFSSX,US9499152356,FOUSA05BQG,Equity,,,,146.96,7/31/2022
Allspring Small Cap R6,WFSJX,US94990B6544,F0000151FY,Equity,,,,133.15,7/31/2022
Allspring Small Company Gr,,US94975A8615,F00000V2IN,Equity,,,,,
Allspring Small Company Growth A,WFSAX,US94975J3591,FOUSA04BNK,Equity,,,,135.00,7/31/2022
Allspring Small Company Growth Admin,NVSCX,US94975G4477,FOUSA00F98,Equity,,,,135.03,7/31/2022
Allspring Small Company Growth C,WSMCX,US94975J3344,FOUSA04BNM,Equity,,,,134.93,7/31/2022
Allspring Small Company Growth Inst,WSCGX,US9499215716,FOUSA06QZU,Equity,,,,135.03,7/31/2022
Allspring Small Company Growth R6,WSCRX,US94988A6762,F00000UNA2,Equity,,,,135.06,7/31/2022
Allspring Small Company Val,,US94975A8532,F00000V2IO,Equity,,,,,
Allspring Small Company Value A,SCVAX,US94975P8840,FOUSA02V1N,Equity,,,,145.53,7/31/2022
Allspring Small Company Value Admin,SCVIX,US94975P8683,FOUSA02V1Q,Equity,,,,145.45,7/31/2022
Allspring Small Company Value C,SCVFX,US94975J7485,FOUSA04AQ9,Equity,,,,145.43,7/31/2022
Allspring Small Company Value Inst,SCVNX,US94975P4211,F00000J8KP,Equity,,,,145.51,7/31/2022
Allspring Small Company Value R6,SCVJX,US94990B2097,F00000XYUM,Equity,,,,145.58,7/31/2022
Allspring Special Global Small Cap A,EKGAX,US94985D8552,FOUSA00DCK,Equity,,,,114.07,7/31/2022
Allspring Special Global Small Cap Admin,EKGYX,US94985D8222,FOUSA00HJS,Equity,,,,114.04,7/31/2022
Allspring Special Global Small Cap C,EKGCX,US94985D8305,FOUSA00DCS,Equity,,,,114.01,7/31/2022
Allspring Special Global Small Cap Inst,EKGIX,US94975P7446,F00000J8JX,Equity,,,,114.04,7/31/2022
Allspring Special Intl Sm Cp A,ASPAX,US94975P2801,F00001E074,Equity,,,,,
Allspring Special Intl Sm Cp C,ACPCX,US94975P2728,F00001E075,Equity,,,,,
Allspring Special Intl Sm Cp Instl,WICIX,US9499171737,F000013BI9,Equity,,,,113.52,7/31/2022
Allspring Special Intl Sm Cp R6,WICRX,US9499171653,F000013BIA,Equity,,,,113.30,7/31/2022
Allspring Special Large Cap Value A,EIVAX,US94984B2236,FOUSA05HSR,Equity,,,,103.75,7/31/2022
Allspring Special Large Cap Value Admin,EIVDX,US94975P5382,F00000J8K4,Equity,,,,103.66,7/31/2022
Allspring Special Large Cap Value C,EIVCX,US94984B1998,FOUSA05HST,Equity,,,,103.60,7/31/2022
Allspring Special Large Cap Value Inst,EIVIX,US94984B1816,FOUSA05HSU,Equity,,,,103.61,7/31/2022
Allspring Special Large Cap Value R,EIVTX,US9499171810,F00000PKSZ,Equity,,,,103.77,7/31/2022
Allspring Special Large Cap Value R6,EIVFX,US94987W8441,F00000OSN0,Equity,,,,103.99,7/31/2022
Allspring Special Mid Cap Value A,WFPAX,US9499213083,FOUSA06JN5,Equity,,,,122.79,7/31/2022
Allspring Special Mid Cap Value Admin,WFMDX,US9499155169,FOUSA05BQC,Equity,,,,122.77,7/31/2022
Allspring Special Mid Cap Value C,WFPCX,US9499214073,FOUSA06JN6,Equity,,,,122.71,7/31/2022
Allspring Special Mid Cap Value Inst,WFMIX,US9499154824,FOUSA05BQD,Equity,,,,122.79,7/31/2022
Allspring Special Mid Cap Value R,WFHHX,US94988V8524,F00000WD45,Equity,,,,122.69,7/31/2022
Allspring Special Mid Cap Value R6,WFPRX,US94987W5132,F00000Q0L5,Equity,,,,122.75,7/31/2022
Allspring Special Small Cap Value A,ESPAX,US94984B4398,FOUSA00B94,Equity,,,,135.78,7/31/2022
Allspring Special Small Cap Value Adm,ESPIX,US94984B3978,FOUSA00IL8,Equity,,,,135.88,7/31/2022
Allspring Special Small Cap Value C,ESPCX,US94984B4133,FOUSA02SXA,Equity,,,,135.76,7/31/2022
Allspring Special Small Cap Value Inst,ESPNX,US94975P4476,F00000J8KQ,Equity,,,,135.83,7/31/2022
Allspring Special Small Cap Value R,ESPHX,US94988V8458,F00000WD48,Equity,,,,135.85,7/31/2022
Allspring Special Small Cap Value R6,ESPRX,US94988A6689,F00000UNA5,Equity,,,,135.88,7/31/2022
Allspring Specialized Technology A,WFSTX,US94975H1480,FOUSA00L8U,Equity,,,,137.76,7/31/2022
Allspring Specialized Technology Admin,WFTDX,US94975P7107,F00000J8L6,Equity,,,,137.87,7/31/2022
Allspring Specialized Technology C,WFTCX,US94975H1225,FOUSA00LBK,Equity,,,,137.73,7/31/2022
Allspring Specialized Technology Instl,WFTIX,US94990B8789,F00000XYUE,Equity,,,,137.84,7/31/2022
Allspring Spectrum Aggressive Gr A,WEAFX,US94990B8110,F00000XUR5,Allocation,,,,85.88,7/31/2022
Allspring Spectrum Aggressive Gr Adm,WEADX,US94990B5637,F00001CUH9,Allocation,,,,,
Allspring Spectrum Aggressive Gr C,WEACX,US94990B7534,FOUSA00HRJ,Allocation,,,,85.64,7/31/2022
Allspring Spectrum Aggressive Gr Instl,WEAYX,US94988V2907,F000010V8O,Allocation,,,,85.78,7/31/2022
Allspring Spectrum Cnsrv Gr A,WMBGX,US94990B8292,F00000XUR3,Allocation,,5.17,,40.27,7/31/2022
Allspring Spectrum Cnsrv Gr C,WMBFX,US94990B7617,FOUSA059CY,Allocation,,5.17,,40.28,7/31/2022
Allspring Spectrum Cnsrv Gr Instl,WMBZX,US94988V2667,F000010V8N,Allocation,,5.17,,40.61,7/31/2022
Allspring Spectrum Growth A,WGAFX,US94990B8524,F00000XUQZ,Allocation,,,,68.87,7/31/2022
Allspring Spectrum Growth C,WGCFX,US94990B7872,FOUSA059CZ,Allocation,,,,68.91,7/31/2022
Allspring Spectrum Growth Instl,WGAYX,US94988V2824,F000010V8L,Allocation,,,,69.05,7/31/2022
Allspring Spectrum Income Allc A,WCAFX,US94990B8458,F00000XUR7,Allocation,,5.54,,25.20,7/31/2022
Allspring Spectrum Income Allc C,WCCFX,US94990B7955,FOUSA059D7,Allocation,,5.54,,25.34,7/31/2022
Allspring Spectrum Income Allc Ins,WCYFX,US94988V3160,F000010V92,Allocation,,5.54,,24.65,7/31/2022
Allspring Spectrum Moderate Gr A,WGBAX,US94990B8375,F00000XUR1,Allocation,,,,55.16,7/31/2022
Allspring Spectrum Moderate Gr C,WGBFX,US94990B7799,FOUSA00GC6,Allocation,,,,55.11,7/31/2022
Allspring Spectrum Moderate Gr Instl,WGBIX,US94988V2741,F000010V8M,Allocation,,,,55.13,7/31/2022
Allspring Strategic Municipal Bd A,VMPAX,US94985D7729,FOUSA00CK5,Fixed Income,3.19,3.51,4.13,14.41,7/31/2022
Allspring Strategic Municipal Bd Adm,VMPYX,US94985D7497,FOUSA00J1P,Fixed Income,3.19,3.51,4.13,14.55,7/31/2022
Allspring Strategic Municipal Bd C,DHICX,US94985D7562,FOUSA00HCA,Fixed Income,3.19,3.51,4.13,14.33,7/31/2022
Allspring Strategic Municipal Bd Inst,STRIX,US94987W7609,F00000P7J9,Fixed Income,3.19,3.51,4.13,14.30,7/31/2022
Allspring Strategic Municipal Bd R6,VMPRX,US94988V3327,F000010V8W,Fixed Income,3.19,3.51,4.13,14.40,7/31/2022
Allspring Strategic Retirement Bond,,US94975A5496,F00000Z0BP,Fixed Income,,3.30,,13.15,7/31/2022
Allspring Target 2010 A,STNRX,US94975G2729,FOUSA00FLB,Allocation,,5.91,,34.72,7/31/2022
Allspring Target 2010 Admin,WFLGX,US94975G2497,FOUSA00KOG,Allocation,,5.91,,34.51,7/31/2022
Allspring Target 2010 C,WFOCX,US94975G2562,FOUSA00K5S,Allocation,,5.91,,34.56,7/31/2022
Allspring Target 2010 R,WFARX,US94987W4895,F00000Q0KT,Allocation,,5.91,,34.47,7/31/2022
Allspring Target 2010 R4,WFORX,US94987W6536,F00000OSMN,Allocation,,5.91,,34.46,7/31/2022
Allspring Target 2010 R6,WFOAX,US9499152018,FOUSA05848,Allocation,,5.91,,34.59,7/31/2022
Allspring Target 2015 A,WFACX,US94987W6205,F00000P7J3,Allocation,,5.91,,39.26,7/31/2022
Allspring Target 2015 Admin,WFFFX,US94984B1089,FOUSA06J57,Allocation,,5.91,,38.95,7/31/2022
Allspring Target 2015 R,WFBRX,US94987W3806,F00000Q0KU,Allocation,,5.91,,39.02,7/31/2022
Allspring Target 2015 R4,WFSRX,US94987W6460,F00000OSMO,Allocation,,5.91,,39.37,7/31/2022
Allspring Target 2015 R6,WFSCX,US94984B2079,FOUSA06J58,Allocation,,5.91,,38.87,7/31/2022
Allspring Target 2020 A,STTRX,US94975G2315,FOUSA00B72,Allocation,,5.91,,44.96,7/31/2022
Allspring Target 2020 Admin,WFLPX,US94975G1994,FOUSA00GVD,Allocation,,5.91,,45.21,7/31/2022
Allspring Target 2020 C,WFLAX,US94975G2158,FOUSA00K4G,Allocation,,5.91,,45.00,7/31/2022
Allspring Target 2020 R,WFURX,US94987W4713,F00000Q0KV,Allocation,,5.91,,44.89,7/31/2022
Allspring Target 2020 R4,WFLRX,US94987W4069,F00000OSMP,Allocation,,5.91,,45.24,7/31/2022
Allspring Target 2020 R6,WFOBX,US9499153008,FOUSA0585Q,Allocation,,5.91,,45.12,7/31/2022
Allspring Target 2025 A,WFAYX,US94987W6122,F00000P7J4,Allocation,,6.08,,54.53,7/31/2022
Allspring Target 2025 Admin,WFTRX,US94984B4059,FOUSA06J5A,Allocation,,6.08,,55.11,7/31/2022
Allspring Target 2025 R,WFHRX,US94987W4630,F00000Q0KW,Allocation,,6.08,,54.80,7/31/2022
Allspring Target 2025 R4,WFGRX,US94987W5058,F00000OSMQ,Allocation,,6.08,,54.44,7/31/2022
Allspring Target 2025 R6,WFTYX,US94984B5049,FOUSA06J5B,Allocation,,6.08,,55.29,7/31/2022
Allspring Target 2030 A,STHRX,US94975G1812,FOUSA00EVT,Allocation,,6.30,,64.49,7/31/2022
Allspring Target 2030 Admin,WFLIX,US94975G1572,FOUSA00H5X,Allocation,,6.30,,64.73,7/31/2022
Allspring Target 2030 C,WFDMX,US94975G1655,FOUSA00J22,Allocation,,6.30,,64.59,7/31/2022
Allspring Target 2030 R,WFJRX,US94987W4556,F00000Q0KX,Allocation,,6.30,,64.69,7/31/2022
Allspring Target 2030 R4,WTHRX,US94987W6049,F00000OSMR,Allocation,,6.30,,64.66,7/31/2022
Allspring Target 2030 R6,WFOOX,US9499154097,FOUSA0585S,Allocation,,6.30,,64.70,7/31/2022
Allspring Target 2035 A,WFQBX,US94987W5967,F00000P7J5,Allocation,,6.44,,74.15,7/31/2022
Allspring Target 2035 Admin,WFQWX,US94984B7029,FOUSA06J5D,Allocation,,6.44,,74.31,7/31/2022
Allspring Target 2035 R,WFKRX,US94987W4481,F00000Q0KY,Allocation,,6.44,,74.05,7/31/2022
Allspring Target 2035 R4,WTTRX,US94987W6387,F00000OSMS,Allocation,,6.44,,74.34,7/31/2022
Allspring Target 2035 R6,WFQRX,US94984B8019,FOUSA06J5E,Allocation,,6.44,,74.05,7/31/2022
Allspring Target 2040 A,STFRX,US94975G1408,FOUSA00EK9,Allocation,,6.47,,82.25,7/31/2022
Allspring Target 2040 Admin,WFLWX,US94975G1168,FOUSA00K2D,Allocation,,6.47,,82.17,7/31/2022
Allspring Target 2040 C,WFOFX,US94975G1242,FOUSA00KLC,Allocation,,6.47,,82.02,7/31/2022
Allspring Target 2040 R,WFMRX,US94987W4309,F00000Q0KZ,Allocation,,6.47,,82.25,7/31/2022
Allspring Target 2040 R4,WTFRX,US94987W7039,F00000OSMT,Allocation,,6.47,,82.19,7/31/2022
Allspring Target 2040 R6,WFOSX,US9499155086,FOUSA0585V,Allocation,,6.47,,82.23,7/31/2022
Allspring Target 2045 A,WFQVX,US94987W5884,F00000P7J6,Allocation,,6.47,,87.09,7/31/2022
Allspring Target 2045 Admin,WFQYX,US94984B8761,FOUSA06J5G,Allocation,,6.47,,86.79,7/31/2022
Allspring Target 2045 R,WFNRX,US94987W4226,F00000Q0L0,Allocation,,6.47,,87.17,7/31/2022
Allspring Target 2045 R4,WFFRX,US94987W8029,F00000OSMU,Allocation,,6.47,,87.19,7/31/2022
Allspring Target 2045 R6,WFQPX,US94984B8688,FOUSA06J5H,Allocation,,6.47,,87.14,7/31/2022
Allspring Target 2050 A,WFQAX,US94987W8698,F00000P7J8,Allocation,,6.47,,90.69,7/31/2022
Allspring Target 2050 Admin,WFQDX,US94984B8431,FOUSA06J5J,Allocation,,6.47,,90.16,7/31/2022
Allspring Target 2050 C,WFQCX,US94987W8516,F00000P7J7,Allocation,,6.47,,90.23,7/31/2022
Allspring Target 2050 R,WFWRX,US94987W4143,F00000Q0L1,Allocation,,6.47,,90.72,7/31/2022
Allspring Target 2050 R4,WQFRX,US94987W8854,F00000OSMV,Allocation,,6.47,,90.55,7/31/2022
Allspring Target 2050 R6,WFQFX,US94984B8357,FOUSA06J5K,Allocation,,6.47,,90.67,7/31/2022
Allspring Target 2055 A,WFQZX,US94987W5702,F00000P7JB,Allocation,,6.47,,90.95,7/31/2022
Allspring Target 2055 Admin,WFLHX,US9499211913,F00000MBG8,Allocation,,6.47,,91.01,7/31/2022
Allspring Target 2055 R,WFYRX,US94987W3988,F00000Q0L2,Allocation,,6.47,,91.29,7/31/2022
Allspring Target 2055 R4,WFVRX,US94987W8771,F00000OSMW,Allocation,,6.47,,91.10,7/31/2022
Allspring Target 2055 R6,WFQUX,US9499211830,F00000MBG9,Allocation,,6.47,,90.96,7/31/2022
Allspring Target 2060 A,WFAFX,US94987W3319,F00000VKU3,Allocation,,6.47,,91.04,7/31/2022
Allspring Target 2060 Admin,WFDFX,US94987W2998,F00000VKU5,Allocation,,6.47,,91.08,7/31/2022
Allspring Target 2060 C,WFCFX,US94987W3236,F00000VKU4,Allocation,,6.47,,91.41,7/31/2022
Allspring Target 2060 R,WFRFX,US94987W2816,F00000VKU6,Allocation,,6.47,,91.39,7/31/2022
Allspring Target 2060 R4,WFSFX,US94987W2733,F00000VKU7,Allocation,,6.47,,91.14,7/31/2022
Allspring Target 2060 R6,WFUFX,US94987W2659,F00000VKU8,Allocation,,6.47,,91.08,7/31/2022
Allspring Target Today A,STWRX,US94975G3222,FOUSA00FSP,Allocation,,5.91,,33.76,7/31/2022
Allspring Target Today Admin,WFLOX,US94975G2802,FOUSA00K0L,Allocation,,5.91,,33.89,7/31/2022
Allspring Target Today C,WFODX,US94975G2984,FOUSA00GA2,Allocation,,5.91,,33.96,7/31/2022
Allspring Target Today R,WFRRX,US94987W4978,F00000Q0L6,Allocation,,5.91,,33.57,7/31/2022
Allspring Target Today R4,WOTRX,US94987W6619,F00000OSMX,Allocation,,5.91,,33.74,7/31/2022
Allspring Target Today R6,WOTDX,US9499151028,FOUSA0585O,Allocation,,5.91,,34.05,7/31/2022
Allspring U.S. REIT Portfolio,,US94975A5983,F00000Z0BO,Equity,,,,116.10,7/31/2022
Allspring Ultra Short-Term Income A,SADAX,US9499177288,FOUSA00KS5,Fixed Income,0.74,,1.14,9.76,7/31/2022
Allspring Ultra Short-Term Income A2,WUSNX,US94990B6213,F00001537Z,Fixed Income,0.74,,1.14,9.40,7/31/2022
Allspring Ultra Short-Term Income Adm,WUSDX,US9499177106,FOUSA05BQK,Fixed Income,0.74,,1.14,9.28,7/31/2022
Allspring Ultra Short-Term Income C,WUSTX,US94984B7102,FOUSA06SLI,Fixed Income,0.74,,1.14,9.65,7/31/2022
Allspring Ultra Short-Term Income Inst,SADIX,US9499177445,FOUSA00GO4,Fixed Income,0.74,,1.14,9.48,7/31/2022
Allspring Ultra Short-Term Muni Inc A2,WFUNX,US94990B6130,F00001537Y,Fixed Income,0.84,,1.89,1.99,7/31/2022
Allspring Ultra Short-Term Muni Inc R6,WUSRX,US94988V3244,F000010V8S,Fixed Income,0.84,,1.89,1.43,7/31/2022
Allspring Ultra Shrt-Term Muni Inc A,SMAVX,US9499178849,FOUSA00LAH,Fixed Income,0.84,,1.89,1.65,7/31/2022
Allspring Ultra Shrt-Term Muni Inc Adm,WUSMX,US94975P7933,F00000J8KU,Fixed Income,0.84,,1.89,1.53,7/31/2022
Allspring Ultra Shrt-Term Muni Inc C,WFUSX,US9499216474,FOUSA06QZP,Fixed Income,0.84,,1.89,1.82,7/31/2022
Allspring Ultra Shrt-Term Muni IncInst,SMAIX,US9499177023,FOUSA00GEU,Fixed Income,0.84,,1.89,1.73,7/31/2022
Allspring Util and Telecomms A,EVUAX,US94985D4833,FOUSA00CJ5,Equity,,,,83.22,7/31/2022
Allspring Util and Telecomms Adm,EVUDX,US94975P6869,F00000J8KX,Equity,,,,83.18,7/31/2022
Allspring Util and Telecomms C,EVUCX,US94985D4676,FOUSA00DC8,Equity,,,,83.00,7/31/2022
Allspring Util and Telecomms Inst,EVUYX,US94985D4593,FOUSA00B9G,Equity,,,,83.17,7/31/2022
Allspring Wisconsin Tax-Free A,WWTFX,US9499216136,FOUSA06QYI,Fixed Income,5.91,5.20,7.46,15.17,7/31/2022
Allspring Wisconsin Tax-Free C,WWTCX,US9499177858,FOUSA02VWZ,Fixed Income,5.91,5.20,7.46,15.16,7/31/2022
Allspring Wisconsin Tax-Free Instl,WWTIX,US94990B8607,F00000XYAI,Fixed Income,5.91,5.20,7.46,15.25,7/31/2022
Alpha Fiduciary Quantitative Strat,AFQSX,US71709W7570,F000013SEK,Allocation,,,,149.32,7/31/2022
AlphaCentric Income Opportunities A,IOFAX,US62827M1696,F00000V889,Fixed Income,,,,144.20,7/31/2022
AlphaCentric Income Opportunities C,IOFCX,US62827M1514,F00000V88A,Fixed Income,,,,144.09,7/31/2022
AlphaCentric Income Opportunities I,IOFIX,US62827M1449,F00000V88B,Fixed Income,,,,144.27,7/31/2022
AlphaCentric LifeSci Healthcare A,LYFAX,US62827P3525,F000014580,Equity,,,,131.11,7/31/2022
AlphaCentric LifeSci Healthcare C,LYFCX,US62827P3459,F00001457Y,Equity,,,,131.10,7/31/2022
AlphaCentric LifeSci Healthcare I,LYFIX,US62827P3376,F00001457Z,Equity,,,,131.10,7/31/2022
AlphaCentric Premium Opportunity A,HMXAX,US62827P7666,F00000XCRJ,Alternative,,,,,
AlphaCentric Premium Opportunity C,HMXCX,US62827P7583,F00000XCRL,Alternative,,,,,
AlphaCentric Premium Opportunity I,HMXIX,US62827P7419,F00000XCRM,Alternative,,,,,
AlphaCentric Robotics and Automation A,GNXAX,US62827P6759,F00000YOH6,Equity,,,,137.77,7/31/2022
AlphaCentric Robotics and Automation C,GNXCX,US62827P6676,F00000YOH7,Equity,,,,137.54,7/31/2022
AlphaCentric Robotics and Automation I,GNXIX,US62827P6593,F00000YOH8,Equity,,,,137.48,7/31/2022
AlphaCentric Strategic Income A,SIIAX,US62827Q1031,F000016HYW,Allocation,,,,,
AlphaCentric Strategic Income C,SIICX,US62827Q2021,F000016HYX,Allocation,,,,,
AlphaCentric Strategic Income I,SIIIX,US62827Q3011,F000016HYV,Allocation,,,,,
AlphaCentric SWBC Municipal Oppt A,MUNAX,US62827P4283,F000011D6L,Fixed Income,,8.75,,31.93,7/31/2022
AlphaCentric SWBC Municipal Oppt C,MUNCX,US62827P4101,F000011D6M,Fixed Income,,8.75,,31.54,7/31/2022
AlphaCentric SWBC Municipal Oppt I,MUNIX,US62827P3947,F000011D6K,Fixed Income,,8.75,,31.17,7/31/2022
AlphaCentric Symmetry Strategy A,SYMAX,US62827P3863,F000013L38,Alternative,1.94,1.48,,53.60,7/31/2022
AlphaCentric Symmetry Strategy C,SYMCX,US62827P3780,F000013L39,Alternative,1.94,1.48,,53.12,7/31/2022
AlphaCentric Symmetry Strategy I,SYMIX,US62827P3608,F000013L37,Alternative,1.94,1.48,,53.56,7/31/2022
AlphaMark Fund,AMLCX,US0207841042,FOUSA07ZPF,Equity,,,,94.46,7/31/2022
AlphaSimplex Global Alts A,GAFAX,US63872T7037,FOUSA06XQ5,Alternative,,0.11,,33.05,7/31/2022
AlphaSimplex Global Alts C,GAFCX,US63872T8027,FOUSA06XQB,Alternative,,0.11,,33.11,7/31/2022
AlphaSimplex Global Alts N,GAFNX,US63872T4489,F00000PVRH,Alternative,,0.11,,33.24,7/31/2022
AlphaSimplex Global Alts Y,GAFYX,US63872T8852,FOUSA06XQC,Alternative,,0.11,,33.23,7/31/2022
AlphaSimplex Mgd Futs Strat A,AMFAX,US63872T7458,F00000HL6J,Alternative,,0.15,,,
AlphaSimplex Mgd Futs Strat C,ASFCX,US63872T7375,F00000HL6I,Alternative,,0.15,,,
AlphaSimplex Mgd Futs Strat N,AMFNX,US63873P8251,F00000YX0N,Alternative,,0.15,,,
AlphaSimplex Mgd Futs Strat Y,ASFYX,US63872T7292,F00000HL6F,Alternative,,0.15,,,
ALPS/CorCmdty Mgmt CmpltCmdty Stra A,JCCSX,US31761R3104,F0000109R6,Commodities,,0.23,,129.51,7/31/2022
ALPS/CorCmdty Mgmt CmpltCmdty Strat C,JCRCX,US3176096598,F000005P7B,Commodities,,0.23,,129.27,7/31/2022
ALPS/CorCmdty Mgmt CmpltCmdty Strat I,JCRIX,US3176096671,F000005P7C,Commodities,,0.23,,129.67,7/31/2022
ALPS/CorCmdty Mgmt CmpltCmdty Strat Inv,JCRAX,US3176096754,F000005P7A,Commodities,,0.23,,129.85,7/31/2022
ALPS/Kotak India ESG A,INAAX,US31761R2452,F0000109RB,Equity,,,,158.62,7/31/2022
ALPS/Kotak India ESG C,INFCX,US3176094445,F00000JOQY,Equity,,,,158.21,7/31/2022
ALPS/Kotak India ESG I,INDIX,US3176094361,F00000JOQZ,Equity,,,,158.55,7/31/2022
ALPS/Kotak India ESG II,INDSX,US31761R1611,F0000142QG,Equity,,,,158.59,7/31/2022
ALPS/Kotak India ESG Inv,INDAX,US3176094510,F00000JOQX,Equity,,,,158.74,7/31/2022
ALPS/Red Rocks Global Opportunity A,LPFAX,US31761R3443,F0000109R3,Equity,,,,125.85,7/31/2022
ALPS/Red Rocks Global Opportunity C,LPFCX,US3176096341,F00000HGSC,Equity,,,,125.80,7/31/2022
ALPS/Red Rocks Global Opportunity I,,US02110B7029,F00000TWPC,Equity,,,,126.17,7/31/2022
ALPS/Red Rocks Global Opportunity I,LPEIX,US3176097828,FOUSA06L6Q,Equity,,,,125.84,7/31/2022
ALPS/Red Rocks Global Opportunity III,AVPEX,US02110B8019,F00000TWPD,Equity,,,,126.13,7/31/2022
ALPS/Red Rocks Global Opportunity Inv,LPEFX,US3176098164,FOUSA06L6P,Equity,,,,125.67,7/31/2022
ALPS/Red Rocks Global Opportunity R,LPERX,US3176097901,FOUSA06L6R,Equity,,,,125.54,7/31/2022
ALPS/Smith Balanced Opportunity A,ALABX,US31761T2096,F000015E50,Allocation,,6.28,,,
ALPS/Smith Balanced Opportunity C,ALCBX,US31761T3086,F000015E4Y,Allocation,,6.28,,,
ALPS/Smith Balanced Opportunity I,ALPBX,US31761T4076,F000015E4Z,Allocation,,6.28,,,
ALPS/Smith Balanced Opportunity Inv,ALIBX,US31761T1007,F000015E4X,Allocation,,6.28,,,
ALPS/Smith Credit Opportunities A,SMCAX,US31761T6055,F000015E52,Fixed Income,,4.13,,,
ALPS/Smith Credit Opportunities C,SMCCX,US31761T7046,F000015E53,Fixed Income,,4.13,,,
ALPS/Smith Credit Opportunities I,SMCRX,US31761T8036,F000015E54,Fixed Income,,4.13,,,
ALPS/Smith Credit Opportunities Inv,SMCVX,US31761T5065,F000015E51,Fixed Income,,4.13,,,
ALPS/Smith Short Duration Bond A,SMASX,US31761R3773,F000010CX3,Fixed Income,,1.67,,10.20,7/31/2022
ALPS/Smith Short Duration Bond C,SMCMX,US31761R3690,F000010CX4,Fixed Income,,1.67,,10.08,7/31/2022
ALPS/Smith Short Duration Bond I,SMDSX,US31761R3518,F000010CX5,Fixed Income,,1.67,,10.13,7/31/2022
ALPS/Smith Short Duration Bond Investor,SMRSX,US31761R3856,F000010CX6,Fixed Income,,1.67,,10.44,7/31/2022
ALPS/Smith Total Return Bond A,SMAMX,US31761R4276,F000010CX7,Fixed Income,,6.12,,20.55,7/31/2022
ALPS/Smith Total Return Bond C,SMCHX,US31761R4193,F000010CX8,Fixed Income,,6.12,,20.36,7/31/2022
ALPS/Smith Total Return Bond I,SMTHX,US31761R3930,F000010CX9,Fixed Income,,6.12,,20.54,7/31/2022
ALPS/Smith Total Return Bond Investor,SMTRX,US31761R4359,F000010CXA,Fixed Income,,6.12,,20.37,7/31/2022
Alta Quality Growth Institutional,AQLGX,US14064D7259,F000011AUU,Equity,,,,113.53,7/31/2022
Altegris Futures Evolution Strategy A,EVOAX,US66537Y6297,F00000MPIN,Alternative,1.15,,,64.39,2/28/2022
Altegris Futures Evolution Strategy C,EVOCX,US66537Y6115,F00000MPIO,Alternative,1.15,,,64.30,2/28/2022
Altegris Futures Evolution Strategy I,EVOIX,US66537Y5950,F00000MPIP,Alternative,1.15,,,64.11,2/28/2022
Altegris Futures Evolution Strategy N,EVONX,US66537Y5877,F00000MPIQ,Alternative,1.15,,,63.92,2/28/2022
Altegris/AACA Opportunistic Real Estt A,RAAAX,US66538B7192,F00000QK7G,Equity,,,,122.52,7/31/2022
Altegris/AACA Opportunistic Real Estt C,RAACX,US66538B6939,F00000QK7H,Equity,,,,,
Altegris/AACA Opportunistic Real Estt I,RAAIX,US66538B6855,F00000QK7I,Equity,,,,122.53,7/31/2022
Altegris/AACA Opportunistic Real Estt N,RAANX,US66538B6772,F00000QK7J,Equity,,,,122.35,7/31/2022
Amana Developing World Institutional,AMIDX,US0228656049,F00000Q6Z5,Equity,,,,102.44,7/31/2022
Amana Developing World Investor,AMDWX,US0228653079,F000003WZF,Equity,,,,102.13,7/31/2022
Amana Growth Institutional,AMIGX,US0228655058,F00000Q6Z6,Equity,,,,96.07,7/31/2022
Amana Growth Investor,AMAGX,US0228652089,FOUSA00EVW,Equity,,,,96.09,7/31/2022
Amana Income Institutional,AMINX,US0228654069,F00000Q6Z8,Equity,,,,88.22,7/31/2022
Amana Income Investor,AMANX,US0228651099,FOUSA00B44,Equity,,,,88.20,7/31/2022
Amana Participation Institutional,AMIPX,US0228658029,F00000W2P2,Fixed Income,2.39,3.20,2.59,16.60,7/31/2022
Amana Participation Investor,AMAPX,US0228657039,F00000W2P1,Fixed Income,2.39,3.20,2.59,16.43,7/31/2022
Ambassador,EMPIX,US46141T1337,F00001CJQX,Fixed Income,,3.20,,,
AmericaFirst Defensive Growth A,DGQAX,US02365Y1001,F00000M0NY,Equity,,,,109.35,7/31/2022
