Name,SecId,Morningstar Category,Base Currency,R^2,Base Risk Score,Leverage Ratio,MPRS,Alignment Score,Misfit Risk,Residual Risk,Asset Allocation Risk,Blended Benchmark Risk,Covariance of Asset Allocation & Misfit
SUTL Cazenove Charity Multi-Asset A Acc,F000010REK,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,93.45%,72.59,1.03,74.79,6.82,2.5,4.32,70.47,70.47,-1.25
SVS Brooks Macdonald Blprnt Bal A Acc,F0GBR06OV3,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,90.54%,91.58,1.05,95.82,10.36,2.06,8.3,87.52,87.52,-1.03
SVS Brown Shipley Balanced I Acc,F00000TY7F,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,90.15%,84.38,1.05,88.37,10.77,2.96,7.8,80.57,80.57,-1.48
SVS Brown Shipley Growth A Acc,F0GBR04GNC,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,90.31%,97.38,1.05,101.86,11.88,3.12,8.76,93.1,93.1,-1.56
SVS Church House Balanced Eq Inc A Inc,F0GBR04VIM,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,91.05%,75.59,1.06,79.83,12.81,4.56,8.25,71.58,71.58,-2.28
SVS Cornelian Growth B Acc,F0GBR06OFX,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,93.26%,81.37,1.03,84.13,6.21,0.79,5.42,78.7,78.7,-0.4
SVS Cornelian Growth RMP G GBP Acc,F00000Y853,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,95.13%,73.38,1.03,75.27,4.01,0.27,3.74,71.53,71.53,-0.13
SVS Heritage Balanced A Acc,F00000Y8LW,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,86.67%,67.86,1.08,73.03,14.53,4.55,9.98,63.06,63.06,-2.28
TB Doherty Balanced Managed Ret Acc,F000003U7J,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,88.09%,97.01,1.06,102.46,13.2,2.59,10.61,91.84,91.84,-1.29
The Blackline GBP Inc,F000014FPM,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,94.53%,77.24,1.03,79.25,6.38,2.4,3.98,75.27,75.27,-1.2
The Norfolk Trust,F0GBR06LBM,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,89.42%,72.09,1.06,76.43,10.3,1.87,8.43,68,68,-0.93
The Notts Trust,F0GBR06JWE,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,89.49%,72.11,1.06,76.41,10.24,1.87,8.37,68.04,68.04,-0.93
The Oenoke Acc,F0GBR06OYH,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,94.41%,72.81,1.03,75.03,6.57,2.21,4.36,70.67,70.67,-1.1
The Pendennis Acc,F0GBR06OO0,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,96.61%,78.64,1.02,79.93,3.65,1.09,2.56,77.36,77.36,-0.54
Thesis Abaco,F0GBR06OLI,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,84.35%,93.05,1.08,100.19,18.09,4.31,13.78,86.41,86.41,-2.15
Thesis Diversification,F0GBR06IKW,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,81.69%,57.81,1.12,64.96,17.94,4.43,13.51,51.45,51.45,-2.21
Thesis Global Balanced Strategy Acc,F00000SFE6,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,95.04%,83.33,1.03,85.48,4.27,0.03,4.24,81.24,81.24,-0.01
Thesis Juniper Inc,F00000MBA4,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,91.46%,76.37,1.05,80.06,8.94,1.72,7.22,72.85,72.85,-0.86
Thesis KES Growth Fund Acc,F0GBR06L01,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,87.37%,71.89,1.07,76.82,13.2,3.65,9.55,67.27,67.27,-1.82
Thesis Lion Growth Inc,F0GBR06O5A,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,71.79%,103.14,1.17,120.86,36.88,4.04,32.84,88.02,88.02,-2.02
Thesis Ord Inc,F00000GVVO,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,93.22%,81.9,1.04,85.04,9.89,3.72,6.17,78.87,78.87,-1.86
Thesis PM A Inc,F000002XK4,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,90.20%,64.42,1.06,68.12,10.88,3.69,7.2,60.93,60.93,-1.84
Thesis Serissa Acc,F00000NK6Q,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,87.78%,55.59,1.07,59.38,8.36,1.03,7.33,52.05,52.05,-0.51
Thesis Stratford Inc,F000002X6Y,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,86.27%,80.55,1.07,86.14,14.83,4.01,10.82,75.32,75.32,-2.01
Thesis Thameside Managed,F0GBR06OVW,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,73.17%,69.66,1.17,81.55,25.31,3.25,22.06,59.5,59.5,-1.62
Thesis The Northern Lights A Inc,F00000OEPO,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,93.99%,68.49,1.03,70.67,5.14,0.85,4.29,66.38,66.38,-0.42
Thesis The Vinings Acc,F00000NCKX,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,92.11%,81.07,1.04,84,8.5,2.73,5.77,78.23,78.23,-1.37
Thesis Wharton Inc,F000002X6Z,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,87.29%,81.51,1.06,86.78,14.46,4.25,10.21,76.57,76.57,-2.13
TM Acer Fund,F0GBR06JVR,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,88.41%,70.11,1.07,75.13,12.72,3.02,9.71,65.42,65.42,-1.51
TM Growth Inc,F0000023LL,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,81.34%,59.06,1.12,66.21,15.02,1.51,13.52,52.69,52.69,-0.75
TM Lime Fund Acc,F00000OD5Q,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,86.03%,53.34,1.08,57.8,11.1,2.52,8.58,49.22,49.22,-1.26
TM New Court Equity Growth A2011,F00000NYJY,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,82.28%,73.75,1.11,82.22,17.25,1.19,16.06,66.16,66.16,-0.59
TM Oak,F0GBR06INA,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,78.43%,79.08,1.11,87.46,21.38,5.44,15.94,71.51,71.51,-2.72
TM Opus Inc,F00000P7DP,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,85.29%,78.09,1.07,83.52,15.18,4.68,10.49,73.02,73.02,-2.34
TM Stonehage Fleming Glbl Gr Port A Inc,F00000PCGJ,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,94.81%,89.83,1.02,92.04,5.61,1.26,4.35,87.68,87.68,-0.63
TM UBS (UK) - Global Growth F Acc,F00000TQLO,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,95.92%,88.29,1.02,90.09,4.31,0.73,3.58,86.51,86.51,-0.36
TM UBS (UK) Growth C Acc,F00000T5IO,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,97.07%,78.21,1.02,79.45,3.23,0.78,2.45,77,77,-0.39
TM UBS (UK) Income Focus F GBP Inc,F00000TQLY,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,95.79%,73.82,1.02,75.64,7.9,4.3,3.59,72.05,72.05,-2.15
True Potential Bal 1 A GBP Acc,F00000VQ1H,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,89.44%,66.44,1.06,70.52,8.83,0.91,7.92,62.6,62.6,-0.46
True Potential Bal 2 A GBP Inc,F00000VQXJ,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,97.16%,71.46,1.01,72.52,2.7,0.59,2.11,70.41,70.41,-0.29
True Potential Bal 4 A GBP Acc,F00000ZW9Y,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,90.58%,68.66,1.05,72.09,7.17,0.47,6.7,65.39,65.39,-0.23
True Potential Bal 6 A GBP Acc,F00000XNBP,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,92.90%,60.05,1.04,62.42,6.3,1.63,4.67,57.76,57.76,-0.82
True Potential Bal 7 A Acc,F00000WT75,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,96.43%,56.98,1.02,58.01,2.52,0.48,2.04,55.97,55.97,-0.24
True Potential Balanced 3 Fd Acc,F00000VQXK,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,80.84%,75.14,1.11,83.71,23.42,7.15,16.26,67.45,67.45,-3.58
True Potential Balanced A Acc,F000010I4C,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,94.21%,63.67,1.03,65.44,4.31,0.81,3.51,61.94,61.94,-0.4
True Potential Monthly Income 1 Fd Acc,F00000WTFS,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,93.76%,80.72,1.04,83.56,10.07,4.48,5.59,77.97,77.97,-2.24
True Potential RiskMaster 2 A Acc,F00000XAA2,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,93.92%,74.97,1.03,77.25,5.54,1.05,4.49,72.76,72.76,-0.52
U Asset Allocation Dynamic GBP MC GBP,F000010GLZ,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,72.55%,60.04,1.15,69.12,20.49,3.53,16.96,52.16,52.16,-1.77
UBS Global Allocation (UK) C Acc,F00000OIGS,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,95.90%,83.33,1.02,85,5.82,2.52,3.3,81.7,81.7,-1.26
VAM Balanced Fund A GBP,F00000PBAD,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,93.50%,70.8,1.04,73.44,5.35,0.17,5.18,68.26,68.26,-0.08
Vanguard LifeStrategy 80% Equity A Acc,F00000MLUQ,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,99.85%,79.21,1,79.27,0.33,0.21,0.12,79.15,79.15,-0.1
Vanguard SustLf 60-70% Eq A GBP Acc,F00000XBWL,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,94.18%,63.74,1.03,65.9,4.77,0.51,4.25,61.65,61.65,-0.26
VIrgin Money Growth Fund 2 Inc,F00000VCYO,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,96.76%,76.38,1.02,77.7,4.24,1.62,2.62,75.09,75.09,-0.81
VIrgin Money Pension Growth Fund 2,F00000VWY7,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,96.70%,75.88,1.02,77.21,4.23,1.58,2.65,74.57,74.57,-0.79
Volare Balanced A GBP Acc,F00000YCU3,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,87.66%,72.19,1.06,76.5,11.38,3.01,8.37,68.13,68.13,-1.51
Volare Growth A GBP Acc,F00000YCU5,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,88.72%,89.67,1.05,94.46,12.74,3.4,9.34,85.12,85.12,-1.7
Volare Strategic Income A GBP Inc,F00000YCU8,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,90.12%,67.36,1.05,70.91,8.11,1.18,6.93,63.98,63.98,-0.59
VT Active Portfolio Overlay C Acc,F00000WHUB,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,92.68%,93.39,1.04,96.82,7.68,0.93,6.75,90.07,90.07,-0.47
VT AJ Bell Balanced I Acc,F00000YOVZ,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,91.75%,60.78,1.04,63.44,5.95,0.75,5.21,58.23,58.23,-0.37
VT AJ Bell Moderately Adv I Acc,F00000YOW3,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,93.06%,74.43,1.04,77.15,5.9,0.55,5.35,71.8,71.8,-0.28
VT Balanced Portfolio Overlay C Acc,F00000WHUA,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,93.36%,76.49,1.03,79.12,5.98,0.8,5.18,73.95,73.95,-0.4
VT Chelsea Mgd Cau Gr A GBP Net Acc,F00000Z011,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,82.86%,67.02,1.09,72.99,13.08,1.64,11.45,61.54,61.54,-0.82
VT Chelsea Mgd Mthly Inc A GBP Net Acc,F00000Z013,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,80.60%,76.2,1.1,83.87,17.62,2.98,14.63,69.24,69.24,-1.49
VT EPIC Multi Asset Growth I Inc,F00000QO9W,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,67.03%,110,1.24,136.74,41.16,2.44,38.72,98.02,88.49,3.54
VT Esprit Tactical Growth GBP Acc,F00001023P,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,87.37%,90.65,1.06,96.35,12.48,1.41,11.06,85.28,85.28,-0.71
VT Greystone Balanced Managed R Acc,F00000PFG3,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,79.81%,107.13,1.09,116.59,26.46,8.31,18.15,98.44,98.44,-4.16
VT Momentum Diversified Income A Inc,F0GBR04GUN,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,80.23%,93.46,1.1,102.79,26.12,8.31,17.81,84.98,84.98,-4.15
VT Momentum Diversified Moderate A Acc,F00000P5ZI,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,90.78%,89.98,1.04,93.69,11.64,4.37,7.27,86.42,86.42,-2.18
VT Sinfonia Balanced Managed A Acc,F000002EWJ,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,93.71%,88.36,1.03,91.23,6.28,0.64,5.64,85.58,85.58,-0.32
VT Sinfonia Income and Growth A Acc,F000002EWO,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,93.89%,72.9,1.03,75.33,5.19,0.42,4.77,70.56,70.56,-0.21
VT SmartFund Growth Strategy F GBP Inc,F00000WW51,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,89.96%,77.63,1.05,81.23,10,2.96,7.04,74.19,74.19,-1.48
VT Tatton Blended Active A Acc,F0000101ND,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,93.36%,92.03,1.03,95.06,6.94,0.98,5.96,89.1,89.1,-0.49
VT Tatton Blended Balanced A Acc,F0000101NH,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,93.68%,74.98,1.03,77.42,5.59,0.79,4.81,72.61,72.61,-0.39
VT Tatton Oak Capital Growth B Acc,F000002QN5,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,93.78%,90.38,1.03,93.17,6.44,0.95,5.49,87.68,87.68,-0.48
WAY Flexible Global Growth Port Tr Acc,F0GBR04L10,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,90.48%,89.43,1.05,93.51,10.95,2.97,7.98,85.53,85.53,-1.48
WAY Global Growth Portfolio B Inc,F000002XKS,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,90.50%,85.84,1.05,89.8,10,2.25,7.75,82.05,82.05,-1.13
Wesleyan Moderate High Rk/Rwd Inc X Acc,F00000XIYZ,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,92.77%,81.97,1.04,85.54,9.82,2.83,7,78.54,78.54,-1.41
WS Kleinwort Hambros Growth A Acc,F000005IOK,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,91.34%,80.82,1.04,84.31,9.32,2.47,6.85,77.47,77.47,-1.24
WS Sequel Bal Trgt Ret Strat BœAcc,F00000SCJ4,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,82.47%,82.81,1.09,90.11,19.93,5.92,14.02,76.1,76.1,-2.96
WS Verbatim Multi-Index Portfolio 5 A,F00000LJRQ,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,92.43%,72.02,1.04,74.86,6.54,0.95,5.58,69.28,69.28,-0.48
WS Verbatim Portfolio 6 B Acc,F00000EXOH,EAA Fund GBP Allocation 60-80% Equity,Pound Sterling,92.86%,85.33,1.03,88.2,7.58,1.92,5.66,82.54,82.54,-0.96
7IM AAP Adventurous C Acc,F000001EZR,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,94.80%,87.02,1.03,89.42,4.99,0.26,4.73,84.69,84.69,-0.13
7IM Adventurous C Inc,F0GBR05VCQ,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,92.62%,95.82,1.04,99.38,7.81,0.82,6.99,92.39,92.39,-0.41
Abbotsford GBP Acc,F000003TD3,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,91.21%,66.23,1.05,69.37,7.07,0.92,6.15,63.23,63.23,-0.46
abrdn Multi-Manager Equity Managed R Acc,F0GBR04NM1,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,92.47%,101.37,1.04,105,8.67,1.53,7.14,97.86,97.86,-0.77
abrdn Multi-Manager Ethical R Acc,F0GBR0641R,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,87.28%,110,1.1,120.91,18.37,4.4,13.97,106.94,100.08,1.23
abrdn MyFolio Managed V Inst Acc,F00000JYZQ,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,95.26%,99.19,1.02,101.46,5.13,0.64,4.5,96.97,96.97,-0.32
abrdn MyFolio Market V Inst Acc,F00000JYZ6,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,95.32%,104.68,1.02,107.02,5.85,1.21,4.64,102.38,102.38,-0.6
abrdn MyFolio Multi-Manager V Inst Acc,F00000JYZG,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,92.58%,104.75,1.04,108.48,9.02,1.7,7.32,101.15,101.15,-0.85
ACUMEN Portfolio 8 Acc,F00000Z0GY,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,81.48%,105.49,1.08,114.25,22.64,5.79,16.85,97.4,97.4,-2.9
Allianz RiskMaster Growth Mlt Asst C Acc,F00000O9KW,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,94.38%,89.63,1.03,92.11,5.61,0.73,4.89,87.22,87.22,-0.36
Aviva Investors MA Plus V 3 GBP Acc,F00000PWPC,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,94.37%,107.97,1.03,111.07,7.59,1.49,6.1,104.97,104.97,-0.75
Barclays GlobalBeta Port 5 C Acc GBP,F000002NFD,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,98.91%,92.84,1,93.28,2.86,1.99,0.88,92.4,92.4,-0.99
Barclays Multi-Asset Advnturs Gr BAccGBP,F00000ZO7Q,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,92.59%,97.6,1.03,100.82,9.34,3.01,6.34,94.48,94.48,-1.5
Barclays Multi-Asset Growth B Acc GBP,F00000ZO76,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,91.90%,86.71,1.04,89.93,8.62,2.3,6.32,83.61,83.61,-1.15
Barclays MultiManager Port 5 R Dis GBP,F000002TB7,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,96.87%,99.95,1.01,101.26,5.62,3.02,2.6,98.66,98.66,-1.51
Barclays Wealth Global Mkts 5 R Acc GBP,F00000LO65,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,98.92%,92.59,1,93.03,2.75,1.88,0.87,92.16,92.16,-0.94
BlackRock Consensus 100 D Acc,F00000OMUC,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,95.74%,97.2,1.02,99.46,5.73,1.26,4.47,95,95,-0.63
BlackRock Managed Volatility IV C Acc,F00000WHYQ,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,91.30%,76.29,1.05,80.04,8.09,0.76,7.33,72.72,72.72,-0.38
BlackRock Volatility Strategy III C Acc,F00000PNR4,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,90.22%,75.78,1.06,80.21,9.17,0.55,8.62,71.59,71.59,-0.28
BlackRock Volatility Strategy IV C Acc,F00000SPSK,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,90.05%,87.54,1.06,92.58,10.33,0.53,9.8,82.78,82.78,-0.27
BNY Mellon Mlt-Asst Growth GBP Inc,F0GBR04RQC,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,92.85%,95.37,1.04,99.21,8.25,0.71,7.53,91.68,91.68,-0.36
Brooks Macdonald Intl Multi Strat Growth,F0000008QF,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,92.35%,97.47,1.04,101.18,8.39,1.12,7.27,93.9,93.9,-0.56
Brooks Macdonald Intl Multi Strat Hi Gr,F0000008QH,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,92.71%,110,1.04,114.22,9.16,1.21,7.95,106.27,105.93,-0.44
CCLA CBF CoE Investment Acc,F000002IR1,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,84.20%,63.04,1.09,68.9,13.18,1.95,11.23,57.67,57.67,-0.98
CCLA COIF Charities Ethical Invmt Acc,F00000N3GM,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,91.66%,70.07,1.05,73.41,8.65,2.13,6.52,66.89,66.89,-1.06
CCLA COIF Charities Investment Acc,FOGBR05KPG,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,91.87%,69.64,1.05,72.78,7.88,1.74,6.14,66.64,66.64,-0.87
Close Growth Portfolio A Acc,F00000JR1U,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,85.73%,84.83,1.08,91.78,15.8,2.43,13.38,78.4,78.4,-1.21
Close Managed Growth X Acc,F00000PZ8R,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,91.35%,96.69,1.04,100.52,11.94,4.43,7.51,93.01,93.01,-2.21
Close Tactical Select Passive Gr X Acc,F00000PZA3,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,96.24%,89.37,1.02,91.06,4.04,0.68,3.36,87.7,87.7,-0.34
Coleman Street Invest-Growth Port 1,F00000Q6HZ,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,92.02%,83.83,1.04,87.23,8.22,1.55,6.67,80.56,80.56,-0.77
Consistent Practical Investment A Acc,F000001GDX,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,90.38%,110,1.11,122.29,16.52,4.8,11.72,110.56,98.95,3.41
Courtiers Total Return Growth,F000000ATG,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,92.42%,103.03,1.04,107.4,14.12,5.55,8.57,98.83,98.83,-2.78
CT Managed Equity Z Grs GBP Acc,F000016MVX,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,94.63%,85.6,1.03,87.92,5.09,0.51,4.58,83.34,83.34,-0.26
CT MM Lifestyle 7 A Acc,F0000007KI,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,92.29%,110,1.04,113.88,12.28,5.05,7.23,106.65,106.25,-2.33
CT MM Navigator Growth A Acc,F000000JKC,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,91.92%,89.45,1.04,92.79,9.14,2.59,6.56,86.23,86.23,-1.29
CT Multi-Manager Investment Trust 1 Acc,F0GBR04T8L,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,85.04%,107.41,1.07,115.32,18.58,3.3,15.28,100.04,100.04,-1.65
DMS Stirling House Dynamic Acc,F00000PR3H,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,90.19%,79.72,1.05,83.96,9.75,1.47,8.28,75.68,75.68,-0.73
EF 8AM Focussed A Inc,F00000RJA2,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,74.70%,91.4,1.14,104.31,28.41,4.18,24.23,80.09,80.09,-2.09
EF 8AM Growth A Inc,F00000RJDT,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,81.56%,92.18,1.09,100.54,19.1,3.08,16.02,84.52,84.52,-1.54
EF Brompton Global Opps B GBP Acc,F00000O4TN,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,91.26%,87.19,1.04,90.89,9.25,2,7.25,83.64,83.64,-1
EF Brunswick Growth Portfolio B Acc GBP,F000004005,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,91.18%,110,1.06,116.31,13.7,5.57,8.14,108.17,104.03,-0.71
Embark Horizon Multi-Asset V Z Acc,F00000VIVR,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,94.13%,106.24,1.03,109.3,6.91,0.87,6.04,103.26,103.26,-0.44
Evelyn Maximum Growth Clean GBP Acc,F000013T2Q,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,92.98%,99.59,1.03,102.96,7.7,1.06,6.63,96.33,96.33,-0.53
Fidelity MltAsst Open Adv W Acc,F00000Q5LX,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,95.11%,77.84,1.02,79.65,5.4,1.82,3.58,76.07,76.07,-0.91
Fidelity Multi Asset Allctr Advtrs W Acc,F00000P6X4,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,95.80%,82.83,1.02,84.7,6.28,2.58,3.7,81,81,-1.29
FP Mattioli Woods Adventurous C GBP Inc,F00000Z9WJ,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,86.87%,110,1.16,127.62,20.95,7.41,13.54,114.07,94.81,5.93
FP Mattioli Woods Growth C GBP Inc,F00000Z9WF,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,86.46%,94.16,1.06,99.6,17.14,6.55,10.59,89.01,89.01,-3.27
FP Russell Invsmts Mlt Asst Gr IV C Acc,F00000WFW7,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,95.41%,89.01,1.02,91.03,4.99,1,3.99,87.04,87.04,-0.5
FP Russell Invsmts Multi Asst Gr V C Acc,F00000WFW9,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,95.33%,102.31,1.02,104.71,5.62,0.87,4.75,99.97,99.97,-0.44
GAM Star Dynamic Growth Instl GBP Acc,F00000PIKD,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,92.63%,109.73,1.03,113.08,10.72,4.11,6.61,106.47,106.47,-2.05
GAM Star Global Growth Instl GBP Acc,F00000P0GI,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,94.17%,96.46,1.02,98.8,8.29,3.66,4.62,94.18,94.18,-1.83
Handelsbanken Growth MA H Acc,F000005IX9,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,87.40%,99.04,1.06,104.56,15.28,4.54,10.74,93.82,93.82,-2.27
HSBC Global Strategy Adventurous IC,F00000ZDIQ,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,93.29%,92.34,1.04,95.72,9.3,2.66,6.64,89.08,89.08,-1.33
HSBC World Selection Advent Port Acc C,F00000UOBN,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,95.34%,89.53,1.02,91.72,5.76,1.44,4.33,87.4,87.4,-0.72
IFSL James Hambro Master,F0GBR06KGZ,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,89.87%,65.42,1.06,69.24,8.08,0.66,7.43,61.81,61.81,-0.33
Invesco Managed Growth UK Acc,F0GBR04RXM,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,96.07%,109.48,1.02,111.53,6.58,2.51,4.06,107.47,107.47,-1.26
Janus Henderson Core 6 Inc&Gr I Inc,F00000POMN,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,94.22%,71.28,1.03,73.33,6.87,2.83,4.03,69.3,69.3,-1.42
Janus Henderson Mlt-Mgr Active A Acc,F0GBR04DG9,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,95.65%,76.18,1.02,77.73,4.47,1.39,3.08,74.65,74.65,-0.7
JPM Multi-Manager Growth A Net Acc,F0GBR04NSQ,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,86.86%,110,1.06,116.96,17.14,4.8,12.33,104.63,103.45,-1.81
Jupiter Merlin Growth Portfolio L Inc,F0GBR04DUS,EAA Fund GBP Allocation 80%+ Equity,Pound Sterling,89.85%,76.63,1.06,81.28,11.15,2.12,9.04,72.24,72.24,-1.06
